Macrotrends Data Download,,,,
,,,,
Taiwan Population 1950-2023,,,,
Original Source: United Nations - World Population Prospects,,,,
,,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,,
,,,,
,,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,,
,,,,
,,,,
date, Population, Annual % Change,,year
31/12/1950,7623130,,,1950
31/12/1951,7934689,4.09,,1951
31/12/1952,8251039,3.99,,1952
31/12/1953,8572131,3.89,,1953
31/12/1954,8897776,3.8,,1954
31/12/1955,9229462,3.73,,1955
31/12/1956,9567049,3.66,,1956
31/12/1957,9909453,3.58,,1957
31/12/1958,10256963,3.51,,1958
31/12/1959,10612773,3.47,,1959
31/12/1960,10983147,3.49,,1960
31/12/1961,11371850,3.54,,1961
31/12/1962,11779051,3.58,,1962
31/12/1963,12200148,3.57,,1963
31/12/1964,12630946,3.53,,1964
31/12/1965,13070708,3.48,,1965
31/12/1966,13515900,3.41,,1966
31/12/1967,13917831,2.97,,1967
31/12/1968,14271112,2.54,,1968
31/12/1969,14617237,2.43,,1969
31/12/1970,14957870,2.33,,1970
31/12/1971,15292065,2.23,,1971
31/12/1972,15617414,2.13,,1972
31/12/1973,15933845,2.03,,1973
31/12/1974,16243905,1.95,,1974
31/12/1975,16551774,1.9,,1975
31/12/1976,16860821,1.87,,1976
31/12/1977,17171482,1.84,,1977
31/12/1978,17482884,1.81,,1978
31/12/1979,17793465,1.78,,1979
31/12/1980,18100281,1.72,,1980
31/12/1981,18400556,1.66,,1981
31/12/1982,18692874,1.59,,1982
31/12/1983,18976104,1.52,,1983
31/12/1984,19249250,1.44,,1984
31/12/1985,19511876,1.36,,1985
31/12/1986,19761790,1.28,,1986
31/12/1987,19995931,1.18,,1987
31/12/1988,20211361,1.08,,1988
31/12/1989,20404386,0.96,,1989
31/12/1990,20586174,0.89,,1990
31/12/1991,20770620,0.9,,1991
31/12/1992,20952222,0.87,,1992
31/12/1993,21125717,0.83,,1993
31/12/1994,21293437,0.79,,1994
31/12/1995,21455813,0.76,,1995
31/12/1996,21612429,0.73,,1996
31/12/1997,21764843,0.71,,1997
31/12/1998,21913672,0.68,,1998
31/12/1999,22057214,0.66,,1999
31/12/2000,22194731,0.62,,2000
31/12/2001,22333125,0.62,,2001
31/12/2002,22469616,0.61,,2002
31/12/2003,22593681,0.55,,2003
31/12/2004,22703099,0.48,,2004
31/12/2005,22796306,0.41,,2005
31/12/2006,22874975,0.35,,2006
31/12/2007,22942308,0.29,,2007
31/12/2008,22998321,0.24,,2008
31/12/2009,23044082,0.2,,2009
31/12/2010,23083083,0.17,,2010
31/12/2011,23143071,0.26,,2011
31/12/2012,23234058,0.39,,2012
31/12/2013,23330334,0.41,,2013
31/12/2014,23422513,0.4,,2014
31/12/2015,23512136,0.38,,2015
31/12/2016,23594471,0.35,,2016
31/12/2017,23665024,0.3,,2017
31/12/2018,23726185,0.26,,2018
31/12/2019,23777737,0.22,,2019
31/12/2020,23821464,0.18,,2020
31/12/2021,23859912,0.16,,2021
31/12/2022,23893394,0.14,,2022
31/12/2023,23923276,0.13,,2023
31/12/2024,23950214,0.11,,2024
31/12/2025,23974031,0.1,,2025
31/12/2026,23994081,0.08,,2026
31/12/2027,24009993,0.07,,2027
31/12/2028,24021443,0.05,,2028
31/12/2029,24027582,0.03,,2029
31/12/2030,24027999,0,,2030
31/12/2031,24021923,-0.03,,2031
31/12/2032,24009135,-0.05,,2032
31/12/2033,23989011,-0.08,,2033
31/12/2034,23960879,-0.12,,2034
31/12/2035,23924394,-0.15,,2035
31/12/2036,23878755,-0.19,,2036
31/12/2037,23824250,-0.23,,2037
31/12/2038,23761037,-0.27,,2038
31/12/2039,23689050,-0.3,,2039
31/12/2040,23608730,-0.34,,2040
31/12/2041,23520143,-0.38,,2041
31/12/2042,23423626,-0.41,,2042
31/12/2043,23320094,-0.44,,2043
31/12/2044,23210464,-0.47,,2044
31/12/2045,23095226,-0.5,,2045
31/12/2046,22974401,-0.52,,2046
31/12/2047,22848796,-0.55,,2047
31/12/2048,22718573,-0.57,,2048
31/12/2049,22583802,-0.59,,2049
31/12/2050,22445526,-0.61,,2050
31/12/2051,22304342,-0.63,,2051
31/12/2052,22160392,-0.65,,2052
31/12/2053,22014123,-0.66,,2053
31/12/2054,21865867,-0.67,,2054
31/12/2055,21715382,-0.69,,2055
31/12/2056,21562779,-0.7,,2056
31/12/2057,21408127,-0.72,,2057
31/12/2058,21251546,-0.73,,2058
31/12/2059,21093221,-0.75,,2059
31/12/2060,20933349,-0.76,,2060
31/12/2061,20772362,-0.77,,2061
31/12/2062,20610310,-0.78,,2062
31/12/2063,20447271,-0.79,,2063
31/12/2064,20283701,-0.8,,2064
31/12/2065,20119406,-0.81,,2065
31/12/2066,19954141,-0.82,,2066
31/12/2067,19788160,-0.83,,2067
31/12/2068,19621456,-0.84,,2068
31/12/2069,19453750,-0.85,,2069
31/12/2070,19285584,-0.86,,2070
31/12/2071,19117356,-0.87,,2071
31/12/2072,18948842,-0.88,,2072
31/12/2073,18779929,-0.89,,2073
31/12/2074,18610660,-0.9,,2074
31/12/2075,18441499,-0.91,,2075
31/12/2076,18273347,-0.91,,2076
31/12/2077,18106843,-0.91,,2077
31/12/2078,17942243,-0.91,,2078
31/12/2079,17780036,-0.9,,2079
31/12/2080,17620484,-0.9,,2080
31/12/2081,17464030,-0.89,,2081
31/12/2082,17311039,-0.88,,2082
31/12/2083,17161481,-0.86,,2083
31/12/2084,17015878,-0.85,,2084
31/12/2085,16874595,-0.83,,2085
31/12/2086,16737248,-0.81,,2086
31/12/2087,16604035,-0.8,,2087
31/12/2088,16475108,-0.78,,2088
31/12/2089,16350175,-0.76,,2089
31/12/2090,16229639,-0.74,,2090
31/12/2091,16113138,-0.72,,2091
31/12/2092,16000330,-0.7,,2092
31/12/2093,15891727,-0.68,,2093
31/12/2094,15787376,-0.66,,2094
31/12/2095,15686916,-0.64,,2095
31/12/2096,15590180,-0.62,,2096
31/12/2097,15497260,-0.6,,2097
31/12/2098,15408434,-0.57,,2098
31/12/2099,15323545,-0.55,,2099
31/12/2100,15241961,-0.53,,2100
