supplysector,subsector
FoodDemand_Staples,Corn
FoodDemand_Staples,OtherGrain
FoodDemand_Staples,Rice
FoodDemand_Staples,RootTuber
FoodDemand_Staples,Wheat
FoodDemand_NonStaples,FiberCrop
FoodDemand_NonStaples,MiscCrop
FoodDemand_NonStaples,Fruits
FoodDemand_NonStaples,Legumes
FoodDemand_NonStaples,NutsSeeds
FoodDemand_NonStaples,OilCrop
FoodDemand_NonStaples,OilPalm
FoodDemand_NonStaples,Soybean
FoodDemand_NonStaples,SugarCrop
FoodDemand_NonStaples,Vegetables
FoodDemand_NonStaples,Beef
FoodDemand_NonStaples,Dairy
FoodDemand_NonStaples,Pork
FoodDemand_NonStaples,Poultry
FoodDemand_NonStaples,SheepGoat
FoodDemand_NonStaples,OtherMeat_Fish