db_name,scen_name,scen_type
St7_db_studyReference,St7_Reference_original,Reference_Calibrate
St7_db_studyReference,St7_Reference_original,Reference
St7_db_studyReference,SPP_fuelPrefElast_0.45,Reference_Calibrate
spp_x2_0-005,spp_x2_2025_0d005,spp_x2_0-005
spp_x2_0-005,spp_x2_2035_0d005,spp_x2_0-005
spp_x2_0-005,spp_x2_2045_0d005,spp_x2_0-005
spp_x2_0-405,spp_x2_2025_0d405,spp_x2_0-405
spp_x2_0-405,spp_x2_2035_0d405,spp_x2_0-405
spp_x2_0-405,spp_x2_2045_0d405,spp_x2_0-405
spp_x2_0-805,spp_x2_2025_0d805,spp_x2_0-805
spp_x2_0-805,spp_x2_2035_0d805,spp_x2_0-805
spp_x2_0-805,spp_x2_2045_0d805,spp_x2_0-805
spp_x2_1-205,spp_x2_2025_1d205,spp_x2_1-205
spp_x2_1-205,spp_x2_2035_1d205,spp_x2_1-205
spp_x2_1-205,spp_x2_2045_1d205,spp_x2_1-205
spp_p10_0-005,spp_p10_2025_0d005,spp_p10_0-005
spp_p10_0-005,spp_p10_2035_0d005,spp_p10_0-005
spp_p10_0-005,spp_p10_2045_0d005,spp_p10_0-005
spp_p10_0-405,spp_p10_2025_0d405,spp_p10_0-405
spp_p10_0-405,spp_p10_2035_0d405,spp_p10_0-405
spp_p10_0-405,spp_p10_2045_0d405,spp_p10_0-405
spp_p10_0-805,spp_p10_2025_0d805,spp_p10_0-805
spp_p10_0-805,spp_p10_2035_0d805,spp_p10_0-805
spp_p10_0-805,spp_p10_2045_0d805,spp_p10_0-805
spp_p10_1-205,spp_p10_2025_1d205,spp_p10_1-205
spp_p10_1-205,spp_p10_2035_1d205,spp_p10_1-205
spp_p10_1-205,spp_p10_2045_1d205,spp_p10_1-205
spp_p20_0-005,spp_p20_2025_0d005,spp_p20_0-005
spp_p20_0-005,spp_p20_2035_0d005,spp_p20_0-005
spp_p20_0-005,spp_p20_2045_0d005,spp_p20_0-005
spp_p20_0-405,spp_p20_2025_0d405,spp_p20_0-405
spp_p20_0-405,spp_p20_2035_0d405,spp_p20_0-405
spp_p20_0-405,spp_p20_2045_0d405,spp_p20_0-405
spp_p20_0-805,spp_p20_2025_0d805,spp_p20_0-805
spp_p20_0-805,spp_p20_2035_0d805,spp_p20_0-805
spp_p20_0-805,spp_p20_2045_0d805,spp_p20_0-805
spp_p20_1-205,spp_p20_2025_1d205,spp_p20_1-205
spp_p20_1-205,spp_p20_2035_1d205,spp_p20_1-205
spp_p20_1-205,spp_p20_2045_1d205,spp_p20_1-205
spp_p30_0-005,spp_p30_2025_0d005,spp_p30_0-005
spp_p30_0-005,spp_p30_2035_0d005,spp_p30_0-005
spp_p30_0-005,spp_p30_2045_0d005,spp_p30_0-005
spp_p30_0-405,spp_p30_2025_0d405,spp_p30_0-405
spp_p30_0-405,spp_p30_2035_0d405,spp_p30_0-405
spp_p30_0-405,spp_p30_2045_0d405,spp_p30_0-405
spp_p30_0-805,spp_p30_2025_0d805,spp_p30_0-805
spp_p30_0-805,spp_p30_2035_0d805,spp_p30_0-805
spp_p30_0-805,spp_p30_2045_0d805,spp_p30_0-805
spp_p30_1-205,spp_p30_2025_1d205,spp_p30_1-205
spp_p30_1-205,spp_p30_2035_1d205,spp_p30_1-205
spp_p30_1-205,spp_p30_2045_1d205,spp_p30_1-205
spp_p40_0-005,spp_p40_2025_0d005,spp_p40_0-005
spp_p40_0-005,spp_p40_2035_0d005,spp_p40_0-005
spp_p40_0-005,spp_p40_2045_0d005,spp_p40_0-005
spp_p40_0-405,spp_p40_2025_0d405,spp_p40_0-405
spp_p40_0-405,spp_p40_2035_0d405,spp_p40_0-405
spp_p40_0-405,spp_p40_2045_0d405,spp_p40_0-405
spp_p40_0-805,spp_p40_2025_0d805,spp_p40_0-805
spp_p40_0-805,spp_p40_2035_0d805,spp_p40_0-805
spp_p40_0-805,spp_p40_2045_0d805,spp_p40_0-805
spp_p40_1-205,spp_p40_2025_1d205,spp_p40_1-205
spp_p40_1-205,spp_p40_2035_1d205,spp_p40_1-205
spp_p40_1-205,spp_p40_2045_1d205,spp_p40_1-205
spp_p50_0-005,spp_p50_2025_0d005,spp_p50_0-005
spp_p50_0-005,spp_p50_2035_0d005,spp_p50_0-005
spp_p50_0-005,spp_p50_2045_0d005,spp_p50_0-005
spp_p50_0-405,spp_p50_2025_0d405,spp_p50_0-405
spp_p50_0-405,spp_p50_2035_0d405,spp_p50_0-405
spp_p50_0-405,spp_p50_2045_0d405,spp_p50_0-405
spp_p50_0-805,spp_p50_2025_0d805,spp_p50_0-805
spp_p50_0-805,spp_p50_2035_0d805,spp_p50_0-805
spp_p50_0-805,spp_p50_2045_0d805,spp_p50_0-805
spp_p50_1-205,spp_p50_2025_1d205,spp_p50_1-205
spp_p50_1-205,spp_p50_2035_1d205,spp_p50_1-205
spp_p50_1-205,spp_p50_2045_1d205,spp_p50_1-205
spp_p60_0-005,spp_p60_2025_0d005,spp_p60_0-005
spp_p60_0-005,spp_p60_2035_0d005,spp_p60_0-005
spp_p60_0-005,spp_p60_2045_0d005,spp_p60_0-005
spp_p60_0-405,spp_p60_2025_0d405,spp_p60_0-405
spp_p60_0-405,spp_p60_2035_0d405,spp_p60_0-405
spp_p60_0-405,spp_p60_2045_0d405,spp_p60_0-405
spp_p60_0-805,spp_p60_2025_0d805,spp_p60_0-805
spp_p60_0-805,spp_p60_2035_0d805,spp_p60_0-805
spp_p60_0-805,spp_p60_2045_0d805,spp_p60_0-805
spp_p60_1-205,spp_p60_2025_1d205,spp_p60_1-205
spp_p60_1-205,spp_p60_2035_1d205,spp_p60_1-205
spp_p60_1-205,spp_p60_2045_1d205,spp_p60_1-205
spp_all10_0-005,spp_all10_2025_0d005,spp_all10_0-005
spp_all10_0-005,spp_all10_2035_0d005,spp_all10_0-005
spp_all10_0-005,spp_all10_2045_0d005,spp_all10_0-005
spp_all10_0-405,spp_all10_2025_0d405,spp_all10_0-405
spp_all10_0-405,spp_all10_2035_0d405,spp_all10_0-405
spp_all10_0-405,spp_all10_2045_0d405,spp_all10_0-405
spp_all10_0-805,spp_all10_2025_0d805,spp_all10_0-805
spp_all10_0-805,spp_all10_2035_0d805,spp_all10_0-805
spp_all10_0-805,spp_all10_2045_0d805,spp_all10_0-805
spp_all10_1-205,spp_all10_2025_1d205,spp_all10_1-205
spp_all10_1-205,spp_all10_2035_1d205,spp_all10_1-205
spp_all10_1-205,spp_all10_2045_1d205,spp_all10_1-205
spp_all20_0-005,spp_all20_2025_0d005,spp_all20_0-005
spp_all20_0-005,spp_all20_2035_0d005,spp_all20_0-005
spp_all20_0-005,spp_all20_2045_0d005,spp_all20_0-005
spp_all20_0-405,spp_all20_2025_0d405,spp_all20_0-405
spp_all20_0-405,spp_all20_2035_0d405,spp_all20_0-405
spp_all20_0-405,spp_all20_2045_0d405,spp_all20_0-405
spp_all20_0-805,spp_all20_2025_0d805,spp_all20_0-805
spp_all20_0-805,spp_all20_2035_0d805,spp_all20_0-805
spp_all20_0-805,spp_all20_2045_0d805,spp_all20_0-805
spp_all20_1-205,spp_all20_2025_1d205,spp_all20_1-205
spp_all20_1-205,spp_all20_2035_1d205,spp_all20_1-205
spp_all20_1-205,spp_all20_2045_1d205,spp_all20_1-205
spp_all30_0-005,spp_all30_2025_0d005,spp_all30_0-005
spp_all30_0-005,spp_all30_2035_0d005,spp_all30_0-005
spp_all30_0-005,spp_all30_2045_0d005,spp_all30_0-005
spp_all30_0-405,spp_all30_2025_0d405,spp_all30_0-405
spp_all30_0-405,spp_all30_2035_0d405,spp_all30_0-405
spp_all30_0-405,spp_all30_2045_0d405,spp_all30_0-405
spp_all30_0-805,spp_all30_2025_0d805,spp_all30_0-805
spp_all30_0-805,spp_all30_2035_0d805,spp_all30_0-805
spp_all30_0-805,spp_all30_2045_0d805,spp_all30_0-805
spp_all30_1-205,spp_all30_2025_1d205,spp_all30_1-205
spp_all30_1-205,spp_all30_2035_1d205,spp_all30_1-205
spp_all30_1-205,spp_all30_2045_1d205,spp_all30_1-205
spp_all40_0-005,spp_all40_2025_0d005,spp_all40_0-005
spp_all40_0-005,spp_all40_2035_0d005,spp_all40_0-005
spp_all40_0-005,spp_all40_2045_0d005,spp_all40_0-005
spp_all40_0-405,spp_all40_2025_0d405,spp_all40_0-405
spp_all40_0-405,spp_all40_2035_0d405,spp_all40_0-405
spp_all40_0-405,spp_all40_2045_0d405,spp_all40_0-405
spp_all40_0-805,spp_all40_2025_0d805,spp_all40_0-805
spp_all40_0-805,spp_all40_2035_0d805,spp_all40_0-805
spp_all40_0-805,spp_all40_2045_0d805,spp_all40_0-805
spp_all40_1-205,spp_all40_2025_1d205,spp_all40_1-205
spp_all40_1-205,spp_all40_2035_1d205,spp_all40_1-205
spp_all40_1-205,spp_all40_2045_1d205,spp_all40_1-205
spp_all50_0-005,spp_all50_2025_0d005,spp_all50_0-005
spp_all50_0-005,spp_all50_2035_0d005,spp_all50_0-005
spp_all50_0-005,spp_all50_2045_0d005,spp_all50_0-005
spp_all50_0-405,spp_all50_2025_0d405,spp_all50_0-405
spp_all50_0-405,spp_all50_2035_0d405,spp_all50_0-405
spp_all50_0-405,spp_all50_2045_0d405,spp_all50_0-405
spp_all50_0-805,spp_all50_2025_0d805,spp_all50_0-805
spp_all50_0-805,spp_all50_2035_0d805,spp_all50_0-805
spp_all50_0-805,spp_all50_2045_0d805,spp_all50_0-805
spp_all50_1-205,spp_all50_2025_1d205,spp_all50_1-205
spp_all50_1-205,spp_all50_2035_1d205,spp_all50_1-205
spp_all50_1-205,spp_all50_2045_1d205,spp_all50_1-205
spp_all60_0-005,spp_all60_2025_0d005,spp_all60_0-005
spp_all60_0-005,spp_all60_2035_0d005,spp_all60_0-005
spp_all60_0-005,spp_all60_2045_0d005,spp_all60_0-005
spp_all60_0-405,spp_all60_2025_0d405,spp_all60_0-405
spp_all60_0-405,spp_all60_2035_0d405,spp_all60_0-405
spp_all60_0-405,spp_all60_2045_0d405,spp_all60_0-405
spp_all60_0-805,spp_all60_2025_0d805,spp_all60_0-805
spp_all60_0-805,spp_all60_2035_0d805,spp_all60_0-805
spp_all60_0-805,spp_all60_2045_0d805,spp_all60_0-805
spp_all60_1-205,spp_all60_2025_1d205,spp_all60_1-205
spp_all60_1-205,spp_all60_2035_1d205,spp_all60_1-205
spp_all60_1-205,spp_all60_2045_1d205,spp_all60_1-205
